NTCIR12-MathWiki-1 373321|0,0,0|0,0,0 Prime_zeta_function:20 1 52.018536 APPROACH0
NTCIR12-MathWiki-1 373322|0,0,0|0,0,0 Prime_zeta_function:21 2 52.018536 APPROACH0
NTCIR12-MathWiki-1 373336|0,0,0|0,0,0 Prime_zeta_function:35 3 52.018536 APPROACH0
NTCIR12-MathWiki-1 373328|0,0,0|0,0,0 Prime_zeta_function:27 4 52.018536 APPROACH0
NTCIR12-MathWiki-1 373337|0,0,0|0,0,0 Prime_zeta_function:36 5 52.018536 APPROACH0
NTCIR12-MathWiki-1 373334|0,0,0|0,0,0 Prime_zeta_function:33 6 52.018536 APPROACH0
NTCIR12-MathWiki-1 373335|0,0,0|0,0,0 Prime_zeta_function:34 7 52.018536 APPROACH0
NTCIR12-MathWiki-1 373323|0,0,0|0,0,0 Prime_zeta_function:22 8 52.018536 APPROACH0
NTCIR12-MathWiki-1 373326|0,0,0|0,0,0 Prime_zeta_function:25 9 52.018536 APPROACH0
NTCIR12-MathWiki-1 373327|0,0,0|0,0,0 Prime_zeta_function:26 10 52.018536 APPROACH0
NTCIR12-MathWiki-1 373329|0,0,0|0,0,0 Prime_zeta_function:28 11 52.018536 APPROACH0
NTCIR12-MathWiki-1 145335|0,0,0|0,0,0 Pisot–Vijayaraghavan_number:42 12 51.902603 APPROACH0
NTCIR12-MathWiki-1 88105|0,0,0|0,0,0 Limit_of_a_sequence:17 13 51.902603 APPROACH0
NTCIR12-MathWiki-1 226016|0,0,0|0,0,0 Prime_constant:7 14 51.756004 APPROACH0
NTCIR12-MathWiki-1 50037|0,0,0|0,0,0 Riemann_zeta_function:11 15 51.726250 APPROACH0
NTCIR12-MathWiki-1 324890|0,0,0|0,0,0 File:Divisor-distribution.jpeg:4 16 51.726250 APPROACH0
NTCIR12-MathWiki-1 490898|0,0,0|0,0,0 Herman_ring:4 17 51.726250 APPROACH0
NTCIR12-MathWiki-1 324911|0,0,0|0,0,0 File:Divisor-summatory.svg:4 18 51.726250 APPROACH0
NTCIR12-MathWiki-1 406510|0,0,0|0,0,0 Bernstein's_constant:3 19 51.726250 APPROACH0
NTCIR12-MathWiki-1 324904|0,0,0|0,0,0 File:Divisor-summatory-big.svg:4 20 51.726250 APPROACH0
NTCIR12-MathWiki-1 130367|0,0,0|0,0,0 Gibbs_phenomenon:12 21 51.726250 APPROACH0
NTCIR12-MathWiki-1 51574|0,0,0|0,0,0 Series_(mathematics):42 22 51.640659 APPROACH0
NTCIR12-MathWiki-1 56247|0,0,0|0,0,0 Travelling_salesman_problem:39 23 51.640659 APPROACH0
NTCIR12-MathWiki-1 343121|0,0,0|0,0,0 Shapiro_inequality:4 24 51.640659 APPROACH0
NTCIR12-MathWiki-1 183187|0,0,0|0,0,0 Mathematical_coincidence:61 25 51.590038 APPROACH0
